candidate_id,rank,score,reasoning
CAND_0002025,1,93.02,"Top-tier Senior AI Engineer with 5.9 years of experience at Apple. Flawless candidate profile matching core JD requirements with expert-level skills in FAISS, TensorFlow, scikit-learn and high availability metrics."
CAND_0052682,2,92.8,"Top-tier Senior AI Engineer with 6.6 years of experience at Aganitha. Flawless candidate profile matching core JD requirements with expert-level skills in QLoRA, Semantic Search, FAISS and high availability metrics."
CAND_0079387,3,91.28,"Top-tier Senior AI Engineer with 6.9 years of experience at Microsoft. Flawless candidate profile matching core JD requirements with expert-level skills in scikit-learn, Recommendation Systems, Python and high availability metrics."
CAND_0027691,4,89.7,"Top-tier Senior AI Engineer with 6.5 years of experience at Haptik. Flawless candidate profile matching core JD requirements with expert-level skills in LoRA, PEFT, Recommendation Systems and high availability metrics."
CAND_0011687,5,88.66,"Top-tier Senior AI Engineer with 7.8 years of experience at Niramai. Flawless candidate profile matching core JD requirements with expert-level skills in TensorFlow, OpenSearch, FAISS and high availability metrics."
CAND_0008239,6,86.94,"Top-tier Senior AI Engineer with 4.0 years of experience at Apple. Flawless candidate profile matching core JD requirements with expert-level skills in Milvus, Semantic Search, Diffusion Models and high availability metrics."
CAND_0046064,7,86.84,"Top-tier Senior AI Engineer with 8.9 years of experience at Salesforce. Flawless candidate profile matching core JD requirements with expert-level skills in Python, Image Classification, OpenCV and high availability metrics."
CAND_0079284,8,86.2,"Top-tier Senior AI Engineer with 4.9 years of experience at Google. Flawless candidate profile matching core JD requirements with expert-level skills in Recommendation Systems, scikit-learn, QLoRA and high availability metrics."
CAND_0030031,9,86.14,"Top-tier Senior AI Engineer with 5.7 years of experience at Microsoft. Flawless candidate profile matching core JD requirements with expert-level skills in Information Retrieval, PyTorch, Object Detection and high availability metrics."
CAND_0081846,10,85.72,"Top-tier Senior AI Engineer with 6.7 years of experience at Razorpay. Flawless candidate profile matching core JD requirements with expert-level skills in Data Science, Information Retrieval, LlamaIndex and high availability metrics."
CAND_0062247,11,83.92,"Highly qualified AI Engineer with 7.3 years of experience. Demonstrated engineering depth in Image Classification, Pinecone, Vector Search at product-centric company Google with solid platform engagement."
CAND_0068811,12,83.9,"Highly qualified Applied ML Engineer with 8.0 years of experience. Demonstrated engineering depth in Vector Search, Speech Recognition, TTS at product-centric company Freshworks with solid platform engagement."
CAND_0015528,13,82.68,"Highly qualified Applied ML Engineer with 7.4 years of experience. Demonstrated engineering depth in Weaviate, BentoML, Weights & Biases at product-centric company Krutrim with solid platform engagement."
